web-scraper-order,web-scraper-start-url,link,link-href,dataset_availability,dataset_provider,dataset_provider-href,tags,description
"1573167042-281","https://developers.google.com/earth-engine/datasets/catalog","GLCF: Landsat Global Inland Water","https://developers.google.com/earth-engine/datasets/catalog/GLCF_GLS_WATER","2000-01-01T00:00:00 - 2000-12-31T00:00:00","GLCF","http://landcover.org/data/watercover/","water
    
      landsat-derived
    
      glcf
    
      umd
    
      nasa","The Global Inland Water dataset shows inland surface water bodies, including
fresh and saline lakes, rivers, and reservoirs."
"1573165893-26","https://developers.google.com/earth-engine/datasets/catalog","HUC10: USGS Watershed Boundary Dataset of Watersheds","https://developers.google.com/earth-engine/datasets/catalog/USGS_WBD_2017_HUC10","2017-04-22T00:00:00 - 2017-04-23T00:00:00","United States Geological Survey","https://nhd.usgs.gov/wbd.html","water
    
      watershed
    
      wbd
    
      hydrology
    
      usgs","The Watershed Boundary Dataset (WBD) is a comprehensive
aggregated collection of hydrologic unit (HU) data consistent
with the national criteria for delineation and resolution. It
defines the areal extent of surface water drainage to a point
except in coastal or lake front areas where there could be multiple
outlets as stated by the Federal Standards and Procedures for
the National Watershed Boundary Dataset.
Watershed boundaries are determined solely upon science-based
hydrologic principles, not favoring any administrative boundaries
or special projects, nor particular program or agency. The intent
of defining HUs for the WBD is to establish a baseline drainage
boundary framework, accounting for all land and surface areas."
"1573167114-316","https://developers.google.com/earth-engine/datasets/catalog","Sentinel-5P OFFL CH4: Offline Methane","https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_OFFL_L3_CH4","2019-02-08T08:13:16 - Present","European Union/ESA/Copernicus","https://sentinel.esa.int/web/sentinel/user-guides/sentinel-5p-tropomi","tropomi
    
      ch4
    
      methane
    
      climate
    
      eu
    
      esa
    
      copernicus
    
      sentinel
    
      s5p
    
      sron
    
      knmi","Sentinel-5 Precursor is a satellite launched on 13 October 2017
by the European Space Agency to monitor air pollution.  The onboard sensor
is frequently referred to as Tropomi (TROPOspheric Monitoring Instrument)."
"1573165880-20","https://developers.google.com/earth-engine/datasets/catalog","WDPA: World Database on Protected Areas (polygons)","https://developers.google.com/earth-engine/datasets/catalog/WCMC_WDPA_current_polygons","2017-07-01T00:00:00 - 2019-02-01T00:00:00","UN Environment World Conservation Monitoring Centre (UNEP-WCMC) / Protected Planet","https://www.protectedplanet.net/","wdpa
    
      protected
    
      boundaries
    
      marine
    
      mpa
    
      iucn
    
      wcmc","The World Database on Protected Areas (WDPA) is the
most up-to-date and complete source of information on protected
areas, updated monthly with submissions from governments, non-governmental
organizations, landowners, and communities. It is managed by
the United Nations Environment Programme's World Conservation
Monitoring Centre (UNEP-WCMC) with support from IUCN and its
World Commission on Protected Areas (WCPA)."
"1573166324-111","https://developers.google.com/earth-engine/datasets/catalog","VNP13A1: VIIRS Vegetation Indices 16-Day 500m","https://developers.google.com/earth-engine/datasets/catalog/NOAA_VIIRS_001_VNP13A1","2012-01-17 - Present","NASA LP DAAC at the USGS EROS Center","https://doi.org/10.5067/VIIRS/VNP13A1.001","ndvi
    
      vegetation
    
      evi
    
      vnp13a1
    
      16-day
    
      nasa
    
      noaa
    
      viirs
    
      npp","The Suomi National Polar-Orbiting Partnership (S-NPP) NASA Visible
Infrared Imaging Radiometer Suite (VIIRS) Vegetation Indices (VNP13A1)
data product provides vegetation indices by a process of
selecting the best available pixel over a 16-day acquisition period
at 500 meter resolution. The VNP13 data products are designed
after the Moderate Resolution Imaging Spectroradiometer (MODIS)
Terra and Aqua Vegetation Indices product suite to promote the
continuity of the Earth Observation System (EOS) mission."
"1573167112-315","https://developers.google.com/earth-engine/datasets/catalog","Sentinel-5P OFFL CLOUD: Near Real-Time Cloud","https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_OFFL_L3_CLOUD","2018-07-04T11:34:21 - Present","European Union/ESA/Copernicus","https://sentinel.esa.int/web/sentinel/user-guides/sentinel-5p-tropomi","tropomi
    
      cloud
    
      climate
    
      eu
    
      esa
    
      copernicus
    
      sentinel
    
      s5p
    
      dlr","Sentinel-5 Precursor is a satellite launched on 13 October 2017
by the European Space Agency to monitor air pollution.  The onboard sensor
is frequently referred to as Tropomi (TROPOspheric Monitoring Instrument)."
"1573166223-94","https://developers.google.com/earth-engine/datasets/catalog","OpenLandMap Soil bulk density","https://developers.google.com/earth-engine/datasets/catalog/OpenLandMap_SOL_SOL_BULKDENS-FINEEARTH_USDA-4A1H_M_v02","1950-01-01T00:00:00 - 2018-01-01T00:00:00","EnvirometriX Ltd","https://doi.org/10.5281/zenodo.1475970","soil
    
      bulk
    
      density
    
      envirometrix
    
      openlandmap
    
      opengeohub","Soil bulk density (fine earth) 10 x kg / m3 at 6 standard
depths (0, 10, 30, 60, 100 and 200 cm) at 250 m resolution."
"1573167166-341","https://developers.google.com/earth-engine/datasets/catalog","SRTM Digital Elevation Data Version 4","https://developers.google.com/earth-engine/datasets/catalog/CGIAR_SRTM90_V4","2000-02-11 - 2000-02-22","NASA/CGIAR","http://srtm.csi.cgiar.org/","srtm
    
      elevation
    
      topography
    
      dem
    
      geophysical
    
      nasa
    
      cgiar","The Shuttle Radar Topography Mission (SRTM) digital
elevation dataset was originally produced to provide consistent,
high-quality elevation data at near global scope. This version
of the SRTM digital elevation data has been processed to fill data
voids, and to facilitate its ease of use."
"1573166851-189","https://developers.google.com/earth-engine/datasets/catalog","MOD17A3H.006: Terra Net Primary Production Yearly Global 500m","https://developers.google.com/earth-engine/datasets/catalog/MODIS_006_MOD17A3H","2000-01-01T00:00:00 - Present","NASA LP DAAC at the USGS EROS Center","https://doi.org/10.5067/MODIS/MOD17A3H.006","gpp
    
      npp
    
      psn
    
      productivity
    
      photosynthesis
    
      modis
    
      mod17a3
    
      yearly
    
      global
    
      terra
    
      usgs
    
      nasa","The MOD17A3H V6 product provides information about
annual Net Primary Productivity (NPP) at 500m pixel resolution.
 Annual NPP is derived from the sum of the 45 8-day Net Photosynthesis
(PSN) products (MOD17A2H) from the given year.  The PSN value
is the difference of the GPP and the Maintenance Respiration
(MR) (GPP-MR)."
"1573166962-242","https://developers.google.com/earth-engine/datasets/catalog","USGS Landsat 7 Collection 1 Tier 1 and Real-Time data Raw Scenes","https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LE07_C01_T1_RT","null","USGS","http://landsat.usgs.gov/","global
    
      etm
    
      l7
    
      le7
    
      c1
    
      tier1
    
      t1
    
      nrt
    
      rt
    
      radiance
    
      landsat
    
      usgs","Landsat 7 Collection 1 Tier 1 and Real-Time data DN values, representing scaled, calibrated at-sensor radiance."
"1573166003-65","https://developers.google.com/earth-engine/datasets/catalog","TRMM 3B42: 3-Hourly Precipitation Estimates","https://developers.google.com/earth-engine/datasets/catalog/TRMM_3B42","1998-01-01T00:00:00 - Present","NASA GSFC","https://trmm.gsfc.nasa.gov/","precipitation
    
      geophysical
    
      weather
    
      climate
    
      rainfall
    
      trmm
    
      nasa
    
      jaxa
    
      3-hourly","The Tropical Rainfall Measuring Mission (TRMM) is a
joint mission between NASA and the Japan Aerospace Exploration
Agency (JAXA) designed to monitor and study tropical rainfall.
The 34B2 product contains a gridded, TRMM-adjusted, merged infrared
precipitation (mm/hr) and RMS precipitation-error estimate, with
a 3-hour temporal resolution and a 0.25 degree spatial resolution."
"1573166486-129","https://developers.google.com/earth-engine/datasets/catalog","NOAA CDR: Ocean Heat Fluxes, Version 2","https://developers.google.com/earth-engine/datasets/catalog/NOAA_CDR_HEAT_FLUXES_V2","1988-01-01T00:00:00 - Present","NOAA","https://www.ncdc.noaa.gov/cdr/atmospheric/ocean-heat-fluxes","atmospheric
    
      ocean
    
      heat
    
      flux
    
      hourly
    
      noaa
    
      cdr
    
      osb","The Ocean Heat Fluxes dataset is part of the NOAA Ocean Surface Bundle (OSB)
and provides a high quality Climate Data Record (CDR) of the air/ocean heat
fluxes over ice-free oceans."
"1573167069-294","https://developers.google.com/earth-engine/datasets/catalog","US Physiography","https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_US_physiography","2006-01-24T00:00:00 - 2011-05-13T00:00:00","Conservation Science Partners","http://www.csp-inc.org/","landforms
    
      elevation
    
      slope
    
      aspect
    
      geophysical
    
      topography
    
      us
    
      csp
    
      ergo","The Physiography dataset represents the spatial intersection of landforms
(available in EE as ERGo/1_0/US/landforms) and lithology (available in EE
as ERGo/1_0/US/lithology) data layers. It provides 247 unique combinations
out of a possible 270. The values for each type are formed by concatenating
the landform and lithology types (e.g., 1101 is ""Peak/ridge"" landform on
""carbonate"" lithology). This data layer is sometimes referred to as
characterizing ""land facets""."
"1573166143-86","https://developers.google.com/earth-engine/datasets/catalog","OpenLandMap Soil water content at 33kPa (field capacity)","https://developers.google.com/earth-engine/datasets/catalog/OpenLandMap_SOL_SOL_WATERCONTENT-33KPA_USDA-4B1C_M_v01","1950-01-01T00:00:00 - 2018-01-01T00:00:00","EnvirometriX Ltd","https://doi.org/10.5281/zenodo.2629589","soil
    
      watercontent
    
      envirometrix
    
      openlandmap
    
      opengeohub","Soil water content (volumetric %) for 33kPa and 1500kPa suctions
predicted at 6 standard depths (0, 10, 30, 60, 100 and 200 cm) at 250 m resolution"
"1573166900-212","https://developers.google.com/earth-engine/datasets/catalog","MCD12Q1.006 MODIS Land Cover Type Yearly Global 500m","https://developers.google.com/earth-engine/datasets/catalog/MODIS_006_MCD12Q1","2001-01-01T00:00:00 - 2016-12-31T00:00:00","NASA LP DAAC at the USGS EROS Center","https://doi.org/10.5067/MODIS/MCD12Q1.006","landcover
    
      modis
    
      mcd12q1
    
      yearly
    
      usgs
    
      nasa","The MCD12Q1 V6 product provides global land cover types at yearly intervals
(2001-2016) derived from six different classification schemes. It is derived
using supervised classifications of MODIS Terra and Aqua reflectance data.
The supervised classifications then undergo additional post-processing that
incorporate prior knowledge and ancillary information to further refine
specific classes."
"1573166883-204","https://developers.google.com/earth-engine/datasets/catalog","MOD08_M3.006 Terra Atmosphere Monthly Global Product","https://developers.google.com/earth-engine/datasets/catalog/MODIS_006_MOD08_M3","2000-03-01T00:00:00 - Present","NASA GSFC","https://modis-atmos.gsfc.nasa.gov/products/monthly","atmosphere
    
      temperature
    
      geophysical
    
      modis
    
      mod08
    
      mod08-m3
    
      monthly
    
      global
    
      terra
    
      usgs
    
      nasa","MOD08_M3 V6 is an atmosphere global product that contains monthly 1 x 1 degree grid average values of atmospheric parameters. These parameters are related to atmospheric aerosol particle properties, total ozone burden, atmospheric water vapor, cloud optical and physical properties, and atmospheric stability indices. The product also provides means, standard deviations, QA weighted statistics, log-normal distributions, uncertainty estimates, and statistics for fractions of pixels that satisfy some condition. Below is a subset of the bands, for a complete list see the MOD08 Band List."
"1573166976-249","https://developers.google.com/earth-engine/datasets/catalog","USGS Landsat 8 Collection 1 Tier 1 and Real-Time data TOA Reflectance","https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LC08_C01_T1_RT_TOA","null","null","","global
    
      toa
    
      landsat
    
      usgs","Landsat 8 Collection 1 Tier 1 and Real-Time data
  calibrated top-of-atmosphere (TOA) reflectance.
  Calibration coefficients are extracted from the image metadata.  See
  Chander et al. (2009) for details on the TOA computation."
"1573167151-334","https://developers.google.com/earth-engine/datasets/catalog","GPWv411: Population Density (Gridded Population of the World Version 4.11)","https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Population_Density","2000-01-01T00:00:00 - 2020-01-01T00:00:00","CIESIN","http://sedac.ciesin.columbia.edu/data/collection/gpw-v4","population
    
      ciesin
    
      gpw","The Gridded Population of World Version 4 (GPWv4), Revision 11 models the distribution
of global human population for the years 2000, 2005, 2010, 2015, and 2020
on 30 arc-second (approximately 1km) grid cells. Population is distributed
to cells using proportional allocation of population from census and
administrative units. Population input data are collected at the most
detailed spatial resolution available from the results of the 2010 round of
censuses, which occurred between 2005 and 2014. The input data are
extrapolated to produce population estimates for each modeled year."
"1573166709-158","https://developers.google.com/earth-engine/datasets/catalog","GIMMS NDVI from AVHRR Sensors (3rd Generation)","https://developers.google.com/earth-engine/datasets/catalog/NASA_GIMMS_3GV0","1981-07-01T00:00:00 - 2013-12-31T00:00:00","NASA/NOAA","https://nex.nasa.gov/nex/projects/1349/","ndvi
    
      vegetation
    
      gimms
    
      nasa
    
      avhrr
    
      noaa","GIMMS NDVI is generated from several NOAA's AVHRR sensors for a global
1/12-degree lat/lon grid. The latest version of the GIMMS NDVI dataset
is named NDVI3g (third generation GIMMS NDVI from AVHRR sensors)."
"1573166922-223","https://developers.google.com/earth-engine/datasets/catalog","USGS Landsat 4 TM Collection 1 Tier 1 TOA Reflectance","https://developers.google.com/earth-engine/datasets/catalog/LANDSAT_LT04_C01_T1_TOA","null","null","","global
    
      toa
    
      landsat
    
      usgs","Landsat 4 TM Collection 1 Tier 1
  calibrated top-of-atmosphere (TOA) reflectance.
  Calibration coefficients are extracted from the image metadata.  See
  Chander et al. (2009) for details on the TOA computation."
"1573166045-70","https://developers.google.com/earth-engine/datasets/catalog","TIGER: US Census Roads","https://developers.google.com/earth-engine/datasets/catalog/TIGER_2016_Roads","2016-01-01T00:00:00 - 2017-01-02T00:00:00","United States Census Bureau","https://www.census.gov/geo/maps-data/data/tiger-data.html","us
    
      roads
    
      census
    
      tiger","This United States Census Bureau TIGER dataset contains all road segments
from the 2016 release, containing more than 19 million individual
line features covering the United States, the District of Columbia,
Puerto Rico, and the Island Areas.
Each feature represents a road segment geometry (a single navigable
linear path connected to at least one intersection)."
"1573167147-332","https://developers.google.com/earth-engine/datasets/catalog","GPWv411: UN-Adjusted Population Density (Gridded Population of the World Version 4.11)","https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_UNWPP-Adjusted_Population_Density","2000-01-01T00:00:00 - 2020-01-01T00:00:00","CIESIN","http://sedac.ciesin.columbia.edu/data/collection/gpw-v4","population
    
      ciesin
    
      gpw","The Gridded Population of World Version 4 (GPWv4), Revision 11 models the distribution
of global human population for the years 2000, 2005, 2010, 2015, and 2020
on 30 arc-second (approximately 1km) grid cells. Population is distributed
to cells using proportional allocation of population from census and
administrative units. Population input data are collected at the most
detailed spatial resolution available from the results of the 2010 round of
censuses, which occurred between 2005 and 2014. The input data are
extrapolated to produce population estimates for each modeled year."
"1573167174-345","https://developers.google.com/earth-engine/datasets/catalog","Australian 5M DEM","https://developers.google.com/earth-engine/datasets/catalog/AU_GA_AUSTRALIA_5M_DEM","2015-12-01T00:00:00 - 2015-12-01T00:00:00","Geoscience Australia","https://ecat.ga.gov.au/geonetwork/srv/eng/search#!22be4b55-2465-4320-e053-10a3070a5236","elevation
    
      australia
    
      dem
    
      geophysical
    
      geoscience-australia
    
      ga
    
      lidar","The Digital Elevation Model (DEM) 5 Metre Grid of Australia
derived from LiDAR model represents a National 5 metre (bare
earth) DEM which has been derived from some 236 individual LiDAR
surveys between 2001 and 2015 covering an area in excess of 245,000
square kilometres. These surveys cover Australia's populated
coastal zone; floodplain surveys within the Murray Darling Basin,
and individual surveys of major and minor population centres.
All available 1 metre resolution LiDAR-derived DEMs have been
compiled and resampled using a neighbourhood-mean method to 5
metre resolution datasets for each survey area, and then merged
into a single dataset for each State. Each state's dataset is
provided as a separate image within the image collection."
"1573166306-109","https://developers.google.com/earth-engine/datasets/catalog","VIIRS Stray Light Corrected Nighttime Day/Night Band Composites Version 1","https://developers.google.com/earth-engine/datasets/catalog/NOAA_VIIRS_DNB_MONTHLY_V1_VCMSLCFG","2014-01-01T00:00:00 - Present","NOAA","https://ngdc.noaa.gov/eog/viirs/download_dnb_composites.html","nighttime
    
      visible
    
      lights
    
      dnb
    
      noaa
    
      viirs
    
      eog
    
      monthly
    
      stray-light","Monthly average radiance composite images using nighttime data from the
Visible Infrared Imaging Radiometer Suite (VIIRS) Day/Night Band (DNB)."
"1573166581-144","https://developers.google.com/earth-engine/datasets/catalog","Ocean Color SMI: Standard Mapped Image MODIS Aqua Data","https://developers.google.com/earth-engine/datasets/catalog/NASA_OCEANDATA_MODIS-Aqua_L3SMI","2002-07-04T00:00:00 - Present","NASA GSFC","https://oceancolor.gsfc.nasa.gov/","temperature
    
      weather
    
      climate
    
      ocean
    
      biology
    
      chlorophyll
    
      reflectance
    
      nasa
    
      oceandata
    
      modis","This level 3 product includes ocean color and satellite ocean biology data
produced or collected under EOSDIS."
"1573166855-191","https://developers.google.com/earth-engine/datasets/catalog","MOD16A2.006: Terra Net Evapotranspiration 8-Day Global 500m","https://developers.google.com/earth-engine/datasets/catalog/MODIS_006_MOD16A2","2001-01-01T00:00:00 - Present","NASA LP DAAC at the USGS EROS Center","https://lpdaac.usgs.gov/dataset_discovery/modis/modis_products_table/mod16a2_v006","evapotranspiration
    
      modis
    
      mod16a2
    
      8-day
    
      global","The MOD16A2 Version 6 Evapotranspiration/Latent Heat Flux product is an
8-day composite product produced at 500 meter pixel resolution. The
algorithm used for the MOD16 data product collection is based on the logic
of the Penman-Monteith equation, which includes inputs of daily
meteorological reanalysis data along with MODIS remotely sensed data
products such as vegetation property dynamics, albedo, and land cover."
"1573166128-84","https://developers.google.com/earth-engine/datasets/catalog","Oxford MAP: Malaria Atlas Project Fractional International Geosphere-Biosphere Programme Landcover","https://developers.google.com/earth-engine/datasets/catalog/Oxford_MAP_IGBP_Fractional_Landcover_5km_Annual","2001-01-01T00:00:00 - 2013-01-01T00:00:00","Oxford Malaria Atlas Project","http://www.map.ox.ac.uk/map-earth-engine-meta-data/","igpb
    
      landcover
    
      oxford
    
      map","The underlying dataset for this landcover product is the IGBP layer found
within the MODIS annual landcover product (MCD12Q1). This data was
converted from its categorical format, which has a ≈500 meter resolution,
to a fractional product indicating the integer percentage (0-100) of the
output pixel covered by each of the 17 landcover classes (1 per band)."
"1573166519-132","https://developers.google.com/earth-engine/datasets/catalog","NOAA CDR AVHRR NDVI: Normalized Difference Vegetation Index, Version 4","https://developers.google.com/earth-engine/datasets/catalog/NOAA_CDR_AVHRR_NDVI_V4","1981-06-24T00:00:00 - Present","NOAA","https://www.ncdc.noaa.gov/cdr/terrestrial/normalized-difference-vegetation-index","land
    
      daily
    
      ndvi
    
      noaa
    
      cdr
    
      avhrr","The NOAA Climate Data Record (CDR) of AVHRR Normalized Difference Vegetation
Index (NDVI) contains gridded daily NDVI derived from the NOAA AVHRR Surface
Reflectance product. It provides a measurement of surface vegetation
coverage activity, gridded at a resolution of 0.05° and computed globally
over land surfaces."
"1573166378-117","https://developers.google.com/earth-engine/datasets/catalog","ETOPO1: Global 1 Arc-Minute Elevation","https://developers.google.com/earth-engine/datasets/catalog/NOAA_NGDC_ETOPO1","2008-08-01T00:00:00 - 2008-08-01T00:00:00","NOAA","http://www.ngdc.noaa.gov/mgg/global/global.html","etopo1
    
      elevation
    
      geophysical
    
      topography
    
      dem
    
      ice
    
      bedrock
    
      bathymetry
    
      noaa
    
      ngdc","ETOPO1 is a 1 arc-minute global relief model of Earth's surface that integrates land topography and ocean bathymetry. It was built from numerous global and regional data sets. It contains two elevation bands: ice_surface and bedrock."
"1573167081-300","https://developers.google.com/earth-engine/datasets/catalog","Global SRTM Topographic Diversity","https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_SRTM_topoDiversity","2006-01-24T00:00:00 - 2011-05-13T00:00:00","Conservation Science Partners","http://www.csp-inc.org/","landforms
    
      elevation
    
      slope
    
      aspect
    
      geophysical
    
      topography
    
      global
    
      csp
    
      ergo","Topographic diversity (D) is a surrogate variable that represents the
variety of temperature and moisture conditions available to species as local
habitats. It expresses the logic that a higher variety of topo-climate
niches should support higher diversity (especially plant) and support
species persistence given climatic change."
"1573167015-268","https://developers.google.com/earth-engine/datasets/catalog","ALOS DSM: Global 30m","https://developers.google.com/earth-engine/datasets/catalog/JAXA_ALOS_AW3D30_V1_1","2006-01-24T00:00:00 - 2011-05-12T00:00:00","JAXA Earth Observation Research Center","http://www.eorc.jaxa.jp/ALOS/en/aw3d30/","alos
    
      elevation
    
      dem
    
      geophysical
    
      topography
    
      jaxa","ALOS World 3D - 30m (AW3D30) is a global digital surface model (DSM) dataset with a horizontal resolution of approximately 30 meters (1 arcsec mesh). The dataset is based on the DSM dataset (5-meter mesh version) of the World 3D Topographic Data. More details are available in the dataset documentation."
"1573167085-302","https://developers.google.com/earth-engine/datasets/catalog","Global SRTM Landforms","https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_SRTM_landforms","2006-01-24T00:00:00 - 2011-05-13T00:00:00","Conservation Science Partners","http://www.csp-inc.org/","landforms
    
      elevation
    
      slope
    
      aspect
    
      geophysical
    
      topography
    
      global
    
      csp
    
      ergo","The SRTM Landform dataset provides landform classes created by combining
the Continuous Heat-Insolation Load Index (SRTM CHILI) and the
multi-scale Topographic Position Index (SRTM mTPI) datasets. It is
based on the 30m SRTM DEM (available in EE as USGS/SRTMGL1_003)."
